TIME_DATE,STATUS,SENSOR_ID,INT
19:11:59/18/4,EXITED,IR_EXIT,61
19:12:4/18/4,ENTERED,IR_ENTRANCE,62
19:12:16/18/4,EXITED,IR_EXIT,61
19:12:26/18/4,EXITED,IR_EXIT,60
19:12:31/18/4,EXITED,IR_EXIT,59
19:12:45/18/4,ENTERED,IR_ENTRANCE,60
19:12:59/18/4,ENTERED,IR_ENTRANCE,61
19:13:16/18/4,EXITED,IR_EXIT,60
19:13:18/18/4,ENTERED,IR_ENTRANCE,61
19:13:29/18/4,ENTERED,IR_ENTRANCE,62
19:13:41/18/4,ENTERED,IR_ENTRANCE,63
19:13:53/18/4,ENTERED,IR_ENTRANCE,64
19:14:3/18/4,ENTERED,IR_ENTRANCE,65
19:14:20/18/4,ENTERED,IR_ENTRANCE,66
19:14:35/18/4,EXITED,IR_EXIT,65
19:14:37/18/4,ENTERED,IR_ENTRANCE,66
19:14:54/18/4,ENTERED,IR_ENTRANCE,67
